#metadataBlock	name	dataverseAlias	displayName													
	bullnet_assay_v1	bullnet_assay_v1	BullNet Assay Metadata v1													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	bullnet_assay_v1_assayType	Assay Type	Type of assay performed.		none	0		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		bullnet_assay_v1	http://purl.obolibrary.org/obo/OBI_0000070
	bullnet_assay_v1_assayPurpose	Assay Purpose	Purpose of the assay (QC, phenotyping, molecular profiling).		none	1		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		bullnet_assay_v1	
	bullnet_assay_v1_instrument	Instrument	Instrument used to perform the assay.		none	2		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		bullnet_assay_v1	
	bullnet_assay_v1_output	Assay Output	Type of output generated by the assay.		none	3		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		bullnet_assay_v1	
	bullnet_assay_v1_protocol	Protocol Reference	Reference to protocol or SOP identifier.		text	4		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		bullnet_assay_v1	
	bullnet_assay_v1_deviations	Protocol Deviations	Any deviations from the standard protocol.		textarea	5		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		bullnet_assay_v1	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder
	bullnet_assay_v1_assayType	CASA	OBI_0002029	0												
	bullnet_assay_v1_assayType	Flow Cytometry	OBI_0000916	1												
	bullnet_assay_v1_assayType	RNA Sequencing	OBI_0001271	2												
	bullnet_assay_v1_assayType	DNA Fragmentation Assay	OBI_0002571	3												
	bullnet_assay_v1_assayType	Other	OTHER_ASSAY	99												
	bullnet_assay_v1_output	Image	IAO_0000101	0												
	bullnet_assay_v1_output	Sequence	OBI_0000723	1												
	bullnet_assay_v1_output	Quantitative Table	IAO_0000100	2												
	bullnet_assay_v1_output	Classification	IAO_0000025	3												
	bullnet_assay_v1_output	Other	OTHER_OUTPUT	99												
