#metadataBlock	name	dataverseAlias	displayName													
	crc1218_study_v1	crc1218_study_v1	CRC1218 Study Metadata v1													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	crc1218_study_v1_uniqueIdentifier	Unique Identifier	Study or Experiment Unique ID.	E.g. UzK-SAC-E250731-01	text	0		TRUE	FALSE	FALSE	TRUE	TRUE	TRUE		crc1218_study_v1	http://purl.obolibrary.org/obo/NCIT_C70663
	crc1218_study_v1_title	Study or Experiment Title	Title of the study or experiment.		text	1		FALSE	FALSE	FALSE	TRUE	TRUE	FALSE		crc1218_study_v1	
	crc1218_study_v1_objective	Study Objective	Objective or purpose of the study.		textbox	2		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		crc1218_study_v1	
	crc1218_study_v1_factors	Experimental Factors	Main experimental factors, conditions, treatments.	E.g. Age, Sex, Strain	text	3		TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		crc1218_study_v1	http://purl.obolibrary.org/obo/NCIT_C164385
	crc1218_study_v1_otherFactors	Other Experimental Factor	If Other was selected in Experimental Factors, list any other factor types that were used in this Dataset.		text	4		TRUE	FALSE	TRUE	TRUE	FALSE	FALSE		crc1218_study_v1	
#controlledVocabulary	DatasetField	Value	EFO_0000246	displayOrder												
	crc1218_study_v1_factors	Age	CLO_0000031	0												
	crc1218_study_v1_factors	Cell Line	EFO_0000324	1												
	crc1218_study_v1_factors	Cell Type	EFO_0000369	2												
	crc1218_study_v1_factors	Compound Based Treatment	EFO_0000399	3												
	crc1218_study_v1_factors	Developmental Stage	OBI_0001293	4												
	crc1218_study_v1_factors	Disease State	IDO_0000469	5												
	crc1218_study_v1_factors	Drug Susceptibility	OBI_0001404	6												
	crc1218_study_v1_factors	Genetic Characteristics	OBI_0000690	7												
	crc1218_study_v1_factors	Immunoprecipitation (Antibody)	OBI_0100026	8												
	crc1218_study_v1_factors	Organism	NCIT_C54573	9												
	crc1218_study_v1_factors	Passage	NCIT_C28421	10												
	crc1218_study_v1_factors	Sex	EFO_0005135	11												
	crc1218_study_v1_factors	Strain	EFO_0000724	12												
	crc1218_study_v1_factors	Time Point	NCIT_C12801	13												
	crc1218_study_v1_factors	Tissue	EFO_0000727	14												
	crc1218_study_v1_factors	Other	OTHER_FACTOR	15												
